rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
1,11 Com,b,11 Com b,Radial Velocity,0,1,326.03,1.29,0.231,,19.4,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,93.37,4.74,V (Johnson),4.372,4742,2.7,19,5/14/14,0,1,0,0,0,0,1.38E+01,2452899.6,94.8,302.8,,,,19.4,,6165.6,6165.6,,,,,,,,,,,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,2007,<a refstr=LIU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...672..553L/abstract target=ref> Liu et al. 2008 </a>,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,3,0,27,19,http://exoplanet.eu/catalog/11_com_b/,http://exoplanets.org/detail/11_Com_b,2008-01,HD 107383,HIP 60202,12.34528503,264.140892,78.280522,177.422388,18.333765,10.71,10.71,-109.2,88.2,140.4,-109.2,88.2,140.4,43.37,5,K0 III,2.31,2.243,,-0.35,[Fe/H],,1.2,,,,,3,0,1,2,0,3,0,6.54,4.74,5.75,,,2.943,2.484,2.282,0.639,0.732,2.358,2.27,,,,,,,,1.83E+00,1.87E+00,1.18E+00,-9.16E-01,20,0.79,1.01,,,0.459,0.202,0.661,,,,7
2,11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,1.53,0.08,,14.74,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,125.72,5.016,V (Johnson),4.5,4213,2.78,29.79,9/6/18,0,1,0,0,0,0,1.22E+01,,,189.7,,,,14.74,,4684.8142,4684.8142,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2009,<a refstr=DOLLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...505.1311D/abstract target=ref> Dollinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,35,18,http://exoplanet.eu/catalog/11_umi_b/,http://exoplanets.org/detail/11_UMi_b,2009-10,HD 136726,HIP 74793,15.28496908,108.718982,41.044516,141.647144,74.958184,7.95,7.95,3.4,10.1,10.7,3.4,10.1,10.7,-17.52,5.4,K4 III,1.93,,,-0.02,[Fe/H],,1.5,,,,,2,0,1,1,0,3,0,,5.016,6.385,,,2.876,2.091,1.939,-0.29,0.143,1.894,1.787,,,,,,,,1.34E+00,1.35E+00,1.18E+00,-9.16E-01,17,,1.369,,,0.785,0.152,0.937,,,,5
3,14 And,b,14 And b,Radial Velocity,0,1,185.84,0.83,0,,4.8,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,75.59,5.227,V (Johnson),4.872,4813,2.2,11,5/14/14,0,1,0,0,0,0,1.10E+01,2452861.4,0,100,,,,4.8,,1525.5,1525.5,,,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60.1317S/abstract target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,30,22,http://exoplanet.eu/catalog/14_and_b/,http://exoplanets.org/detail/14_And_b,2008-12,HD 221345,HIP 116076,23.52150472,106.411558,-21.05061,11.962116,38.229937,13.23,13.23,287.3,-83.8,299.3,287.3,-83.8,299.3,-59.73,4.8,G8 III,2.63,1.763,,-0.24,[Fe/H],,2.6,0.095,,,,2,0,1,1,0,3,0,7.1,5.227,6.24,,,3.019,2.608,2.331,1.592,2.545,2.719,2.719,,,,,,,,2.20E+00,2.32E+00,1.18E+00,-9.16E-01,21,0.86,1.02,,,0.411,0.277,0.688,,,,7
4,14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.93,0.37,,4.66,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,17.94,6.61,V (Johnson),6.379,5338,0.9,0.93,9/6/18,0,1,0,0,0,0,1.63E+02,,,90,,,,4.66,,1481.0878,1481.0878,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2002,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,79,37,http://exoplanet.eu/catalog/14_her_b/,http://exoplanets.org/detail/14_Her_b,2003-01,HD 145675,HIP 79248,16.17342021,69.170376,46.944999,223.248728,62.879798,55.74,55.74,132,-296.5,324.5,132,-296.5,324.5,,5,K0 V,4.45,,,0.41,[Fe/H],,1.6,0.161,-5.06,,,5,0,1,4,0,4,1,,6.61,7.49,,,5.158,4.803,4.714,4.676,4.543,4.721,4.674,,,,,4.73E+00,4.62E+00,,4.21E+00,3.58E+00,1.18E+00,-9.16E-01,25,,0.88,,,0.355,0.089,0.444,0.537,0.366,0.438,9
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1.66,0.68,,1.78,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.25,V (Johnson),6.057,5750,1.08,1.13,9/6/18,0,1,0,0,0,0,7.85E+01,,,50.5,,,,1.78,,565.7374,565.7374,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1996,<a refstr=COCHRAN_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...483..457C/abstract target=ref> Cochran et al. 1997 </a>,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,77,40,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,1997-07,HD 186427,HIP 96901,19.69777018,83.33646,13.204352,321.21805,69.468372,47.28,47.28,-134.8,-162.5,211.1,-134.8,-162.5,211.1,-28.1,4.25,G2.5 V,4.36,,,0.06,[Fe/H],,2.18,0.148,-5.08,,,5,0,1,4,0,4,3,7.07,6.25,6.91,,,4.993,4.695,4.651,4.773,4.568,4.926,4.713,,,,,4.69E+00,4.36E+00,,,,,,28,0.21,0.66,,,0.298,0.044,0.342,0.418,0.222,0.351,17
6,18 Del,b,18 Del b,Radial Velocity,0,1,993.3,2.6,0.08,,10.3,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,76.38,5.506,V (Johnson),5.244,4979,2.3,8.5,5/14/14,0,1,0,0,0,0,3.40E+01,2451672,166.1,119.4,,,,10.3,,3273.5,3273.5,,,,,,,,,,,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,2008,<a refstr=SATO_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008PASJ...60..539S/abstract target=ref> Sato et al. 2008 </a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,28,20,http://exoplanet.eu/catalog/18_del_b/,http://exoplanets.org/detail/18_Del_b,2008-06,HD 199665,HIP 103527,20.97387085,58.691434,-21.974824,320.591213,26.786858,13.09,13.09,-50,-34.2,60.6,-50,-34.2,60.6,4.35,4.6,G6 III,2.82,1.602,,-0.052,[Fe/H],,,,,,,2,0,1,1,0,3,0,,5.506,6.43,,,4.032,3.44,3.366,3.37,2.931,3.355,3.308,,,,,,,,2.91E+00,2.85E+00,1.18E+00,-9.56E-01,18,,0.924,,,0.592,0.074,0.666,,,,5
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,330,,,8,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,139.67,,,12.057,4060,0.85,,4/1/15,0,0,1,0,0,0,2.28E+03,,,,1700,,8,,3000,,3000,,,,,,,,,,,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,2008,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,3,0,28,8,http://exoplanet.eu/catalog/1rxs_1609_b/,,2008-12,,,16.15841787,352.89056,22.030427,244.365684,-0.06841,,7.16,-10.3,-23.2,25.4,-10.3,-23.2,25.4,,5.7,K7 V,,-0.37,,,,0.005,,,,,,0,0,0,0,0,3,0,,,,,,9.82,9.121,8.916,8.794,8.79,8.684,8.531,,,,,,,,,,,,8,,,,,0.699,0.205,0.904,,,,3
8,24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.19,0.042,,0.91,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,96.25,5.58,V (Johnson),5.305,4893,0.99,10.64,4/26/18,0,1,0,0,0,0,1.97E+00,2450008.6,210,59.9,,,,0.91,,289.2253,289.2253,,,,,,JD,,,,,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180404008T/abstract target=ref>Takarada et al. 2018</a>,2018,<a refstr=TAKARADA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180404008T/abstract target=ref>Takarada et al. 2018</a>,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,3,0,17,14,http://exoplanet.eu/catalog/24_boo_b/,,,HD 127243,HIP 70791,14.4771698,90.162223,60.643666,185.925162,58.888907,10.39,10.39,-304.1,-46.8,307.6,-304.1,-46.8,307.6,-7.77,4.3,G3 IV,2.42,1.774,,-0.77,[Fe/H],6.92,3.36,,,,,1,0,1,0,0,3,0,,5.58,6.442,,,3.845,3.34,3.159,,,,,,,,,,,,2.95E+00,2.86E+00,1.18E+00,-9.16E-01,14,,0.864,,,0.505,0.181,0.686,,,,6
9,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,1.333,0.09,,1.99,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,5/14/14,0,1,0,0,0,0,1.85E+01,2454762,9.2,40,,,,1.99,,632.46,632.46,,,,,,,,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,21,17,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2011-01,HD 90043,HIP 50887,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.85,13.85,65.2,-36.3,74.6,65.2,-36.3,74.6,7.29,5,K0 IV,3.5,1.164,,-0.03,[Fe/H],2.7,2.77,,,,,3,0,1,2,0,3,1,,6.441,7.399,,,5.292,4.486,4.285,4.094,3.598,4.254,4.201,,,,,,,,3.80E+00,2.56E+00,1.10E+00,-9.16E-01,17,,0.958,,,0.806,0.201,1.007,0.572,0.342,0.427,8
10,24 Sex,c,24 Sex c,Radial Velocity,0,2,883,2.08,0.29,,0.86,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,5/14/14,0,1,0,0,0,0,2.88E+01,2454930,220.5,14.5,,,,0.86,,273.32,273.32,,,,,,,,,,,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,2010,<a refstr=JOHNSON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010arXiv1007.4552J/abstract target=ref> Johnson et al. 2010 </a>,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,21,17,http://exoplanet.eu/catalog/24_sex_c/,http://exoplanets.org/detail/24_Sex_c,2011-01,HD 90043,HIP 50887,10.39121399,245.085309,44.715734,157.99359,-10.198148,13.85,13.85,65.2,-36.3,74.6,65.2,-36.3,74.6,7.29,5,K0 IV,3.5,1.164,,-0.03,[Fe/H],2.7,2.77,,,,,3,0,1,2,0,3,1,,6.441,7.399,,,5.292,4.486,4.285,4.094,3.598,4.254,4.201,,,,,,,,3.80E+00,2.56E+00,1.10E+00,-9.16E-01,17,,0.958,,,0.806,0.201,1.007,0.572,0.342,0.427,8
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,,52,,,24.5,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,33.86,14.24,V (Johnson),12.903,3530,0.4,,5/14/14,0,0,1,0,0,0,1.44E+03,,,,,,24.5,,7786.5,,7786.5,,,,,,,,,,,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,2013,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,3,0,9,6,http://exoplanet.eu/catalog/2m_0122-24_b/,,2013-08,,,1.3808162,195.448768,-82.520165,8.622413,-30.711243,,29.53,120.5,-123.4,172.4,120.5,-123.4,172.4,9.6,6.35,M3.5 V,,-1.72,,,,0.12,,,,,,0,0,0,0,0,3,0,,14.24,,,,10.084,9.47,9.198,9.022,8.857,8.747,8.298,,,,,,,,,,,,9,,,,,0.614,0.272,0.886,,,,3
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,156,,,13.9,Mass,1.44,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,40.09,,,15.012,3064,0.11,0.28,5/14/15,0,0,1,0,0,0,3.96E+03,,,,,,13.9,,4417.837,,4417.837,16.141,0.148,,,,,,,,,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,2015,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,3,0,10,5,http://exoplanet.eu/catalog/2m_0219-39_b/,,2015-06,,,2.32280707,252.453768,-67.984453,13.508497,-49.30478,,24.94,103.6,-35.9,109.6,103.6,-35.9,109.6,10.6,6.6,M6,4.59,-2.23,,,,0.035,6.5,,,,,0,0,0,0,0,3,0,,,18.5,15.23,13.42,11.381,10.811,10.404,10.148,9.901,9.614,9.001,,,,,,,,,,,,11,,,,,,,,,,,0
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,1,,15,,,7.5,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,120.42,,,18.967,,0.02,,5/14/14,0,0,1,0,0,0,1.07E+02,,,,,,7.5,,2383.6,,2383.6,,,,,,,,,,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,2010,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,3,0,4,4,http://exoplanet.eu/catalog/2m_0441%2B23_b/,,2010-05,,,4.69580487,176.510593,-15.114249,72.050227,0.80244,,8.3,9,-21.4,23.2,9,-21.4,23.2,,6.85,M8.5,,,,,,0.001,,,,,,0,0,0,0,0,3,0,,,,,,14.419,13.726,13.161,,,,,,,,,,,,,,,,4,,,,,0.693,0.565,1.258,,,,3
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,1,,46,,,4,Mass,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,64.42,20.15,V (Johnson),17.408,,0.02,,5/14/14,0,0,1,0,0,0,7.14E+02,,,,1150,,4,,1271,,1271,,,,,,,,,,,<a refstr=DUCOURANT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...477L...1D/abstract target=ref> Ducourant et al. 2008 </a>,2004,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,3,0,9,8,http://exoplanet.eu/catalog/2m1207_b/,,2004-10,,,12.12596313,293.790363,22.543297,199.743654,-35.034839,15.52,15.52,-64.1,-23.7,68.3,-64.1,-23.7,68.3,,6.8,M8,,,,,,0.008,,,,,,0,0,0,0,0,3,0,,20.15,,,,12.995,12.388,11.945,11.574,11.017,9.469,8.121,,,,,,,,,,,,9,,,,,0.607,0.443,1.05,,,,3
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416,0.92,,,1.9,Mass,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,400.77,12.264,Kepler-band,12.138,,0.48,,6/4/15,0,0,0,0,0,1,2.30E+00,,,,,,1.9,,603.877,,603.877,,,,,,,,,,,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,2015,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,11,8,http://exoplanet.eu/catalog/2m_1938%2B46_b/,,2015-05,,,19.642391,79.018713,11.674389,314.709288,65.725374,2.5,2.5,5.2,-4.6,7,5.2,-4.6,7,,,,,,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.757,12.889,12.955,12.862,12.92,12.67,9.203,,,,,,,,,,,,14,,,,,-0.132,-0.066,-0.198,,,,5
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.5,,0.26,46.2,20.95,Mass,0.92,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,33.12,,,17.396,2300,0.08,0.12,5/14/14,0,1,1,0,0,0,,,223,,2075,,20.95,,6657.48,,6657.48,10.31,0.09,,,,,,,,,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,2009,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,3,0,11,5,http://exoplanet.eu/catalog/2m_2140+16_b/,,2010-03,,,21.6748106,70.485103,-26.437255,333.590507,28.526095,,30.2,-77.9,-85.6,115.8,-77.9,-85.6,115.8,13,6.85,M8.5,,-3.48,,,,,,,,,,0,0,0,0,0,3,0,,,,,,12.94,12.266,11.826,11.375,11.135,10.687,8.971,,,,,,,,,,,,8,,,,,0.674,0.44,1.114,,,,3
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,,230,,,12.5,Mass,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,69.71,12.51,V (Johnson),11.948,4045,0.6,,11/10/16,0,0,1,0,0,0,3.11E+03,,,,,,12.5,,3972.875,,3972.875,,,,,,,,,,,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,2016,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,3,0,8,5,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,,,,,22.60681356,100.748288,-9.108906,6.858823,50.853569,,14.34,62.9,-30.5,69.9,62.9,-30.5,69.9,-21.5,5.7,K7 V,,,,,,0.12,,,,,,0,0,0,0,0,3,0,,12.51,13.73,,,9.975,9.338,9.148,9.058,9.094,8.947,8.731,,,,,,,,,,,,13,,,,,0.637,0.19,0.827,,,,3
18,30 Ari B,b,30 Ari B b,Radial Velocity,0,1,335.10001,0.99,0.29,,13.82,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,44.71,6.962,V (Johnson),6.961,6331,1.93,1.41,9/6/18,0,1,0,0,0,0,2.21E+01,,,272,,,,13.82,,4392.4106,4392.4106,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2009,<a refstr=GUENTHER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...507.1659G/abstract target=ref> Guenther et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,41,24,http://exoplanet.eu/catalog/30_ari_b_b/,http://exoplanets.org/detail/30_Ari_B_b,2009-12,HD 16232,HIP 12184,2.61603902,151.476148,-32.309491,44.567804,8.854811,22.36,22.36,141.4,-10.7,141.8,141.4,-10.7,141.8,17.2,3.6,F6 V,4.43,,,0.19,[Fe/H],,38.3,,,29.86,,2,0,1,1,0,3,0,,6.962,7.458,,,6.08,5.908,5.822,5.963,5.669,5.825,5.679,,,,,,,,4.62E+00,3.39E+00,1.18E+00,-1.03E+00,20,,0.496,,,0.172,0.086,0.258,0.332,0.163,0.39,8
19,4 UMa,b,4 UMa b,Radial Velocity,0,1,269.3,0.87,0.432,,7.1,Msini,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,73.58,4.61,V (Johnson),4.16,4415,1.23,18.11,5/14/14,0,1,0,0,0,0,1.18E+01,2452987.394,23.81,215.55,,,,7.1,,2256.5,2256.5,,,,,,,,,,,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,2006,<a refstr=DOLLINGER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007A&A...472..649D/abstract target=ref> Dollinger et al. 2007 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,22,18,http://exoplanet.eu/catalog/4_uma_b/,http://exoplanets.org/detail/4_UMa_b,2007-09,HD 73108,HIP 42527,8.67022705,151.358914,35.9569,112.813312,44.028066,13.59,13.59,-61.2,26.4,66.7,-61.2,26.4,66.7,14.62,5.1,K1 III,1.8,,,-0.25,[Fe/H],4.604,,0.124,,,,1,0,1,0,0,3,0,6.94,4.61,5.78,,,2.619,2.021,1.734,-0.342,0.1,1.817,1.755,,,,,,,,1.33E+00,1.35E+00,1.18E+00,-9.16E-01,20,1.16,1.17,,,0.598,0.287,0.885,,,,7
20,42 Dra,b,42 Dra b,Radial Velocity,0,1,479.1,1.19,0.38,,3.88,Msini,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,90.86,4.82,V (Johnson),4.364,4200,0.98,22.03,5/14/14,0,1,0,0,0,0,1.31E+01,2452757.4,218.7,110.5,,,,3.88,,1233.13,1233.13,,,,,,,,,,,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,2008,<a refstr=DOELLINGER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...499..935D/abstract target=ref> Doellinger et al. 2009 </a>,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,3,0,22,18,http://exoplanet.eu/catalog/42_dra_b/,http://exoplanets.org/detail/42_Dra_b,2009-06,HD 170693,HIP 90344,18.43309326,95.419171,27.125611,342.26709,87.183386,11.01,11.01,105.2,-25.1,108.2,105.2,-25.1,108.2,31.79,5.15,K1.5 III,1.71,,,-0.46,[Fe/H],9.49,1,,,,,2,0,1,1,0,3,0,7.12,4.82,6.01,,,2.949,2.197,2.085,-0.152,0.372,2.022,1.892,,,,,,,,1.45E+00,1.66E+00,1.76E+00,-9.84E-01,20,1.11,1.19,,,0.752,0.112,0.864,,,,7
