rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
1482,Kepler-1051,b,Kepler-1051 b,Transit,0,1,25.96200249,,,,,,0.303,,0,1,0,1,19h40m37.95s,295.158106,+40d53m55.9s,40.898849,1021,849.58,13.2,Kepler-band,13.116,6675,1.43,1.73,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,3.4,0.031,,0.261233,2454971.966,JD,,,,0.01778,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,32,12,http://exoplanet.eu/catalog/Kepler-1051_b/,,,,,19.67720707,74.550309,8.931494,311.183123,60.790798,,1.18,1.5,-6.1,6.3,1.5,-6.1,6.3,,,,4.12,,,0.04,[Fe/H],1.74,,,,,,0,0,0,0,0,3,0,,,,,,12.221,11.993,12.01,11.949,11.994,12.218,9.204,,,,,,,,,,,,14,,,,,0.228,-0.017,0.211,,,,5
1483,Kepler-1052,b,Kepler-1052 b,Transit,0,1,34.8538276,,,,,,0.261,,0,1,0,1,19h41m22.26s,295.342731,+46d36m08.2s,46.602264,1051,969.58,14.876,Kepler-band,14.861,5888,1.03,1.03,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,2.93,0.027,,0.223238,2454997.044,JD,,,,0.02644,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,32,12,http://exoplanet.eu/catalog/Kepler-1052_b/,,,,,19.6895154,79.733439,11.487108,316.336421,66.013233,,1.03,-0.5,-4.5,4.6,-0.5,-4.5,4.6,,,,4.42,,,0,[Fe/H],3.55,,,,,,0,0,0,0,0,3,0,,,,,,13.727,13.393,13.305,13.293,13.33,12.563,9.627,,,,,,,,,,,,14,,,,,0.334,0.088,0.422,,,,5
1484,Kepler-1053,b,Kepler-1053 b,Transit,0,1,2.41435165,,,,,,0.087,,0,1,0,1,19h25m40.47s,291.418635,+39d07m38.7s,39.127415,171,151.79,13.156,Kepler-band,13.209,4529,0.74,0.69,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,0.98,0.009,,0.051033,2454965.429,JD,,,,0.01319,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,32,12,http://exoplanet.eu/catalog/Kepler-1053_b/,,,,,19.42790898,71.618355,10.660887,304.540429,60.024237,,6.59,-4.1,-10.1,10.9,-1,-7.4,7.4,-15.05,,,4.63,,,0.1,[Fe/H],3.09,,,,,,0,0,0,0,0,3,0,,,,,,11.334,10.736,10.585,10.537,10.583,10.66,9.391,,,,,,,,,,,,14,,,,,0.598,0.151,0.749,,,,5
1485,Kepler-1054,b,Kepler-1054 b,Transit,0,1,4.30655689,,,,,,0.235,,0,1,0,1,19h22m24.28s,290.601152,+44d33m23.0s,44.556385,1050,1125.71,14.136,Kepler-band,14.085,6209,1.22,1.34,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,2.63,0.024,,0.169571,2454965.442,JD,,,,0.01772,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,30,11,http://exoplanet.eu/catalog/Kepler-1054_b/,,,,,19.37341013,76.353321,13.562007,306.987502,65.371685,,0.89,-6,-7.7,9.8,-6,-7.7,9.8,,,,4.26,,,0.09,[Fe/H],2.82,,,,,,0,0,0,0,0,3,0,,,,,,13.007,12.762,12.693,12.677,12.712,12.306,9.475,,,,,,,,,,,,14,,,,,0.245,0.069,0.314,,,,5
1486,Kepler-1055,b,Kepler-1055 b,Transit,0,1,2.29503623,,,,,,0.11,,0,1,0,1,19h21m56.83s,290.486779,+44d55m57.4s,44.932617,422,393.82,13.09,Kepler-band,13.073,5723,0.98,0.94,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,1.23,0.011,,0.068579,2454965.693,JD,,,,0.01198,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,32,12,http://exoplanet.eu/catalog/Kepler-1055_b/,,,,,19.36578527,76.669734,13.793588,307.10953,65.753262,,2.54,-0.8,-11.6,11.6,-0.8,-11.6,11.6,,,,4.49,,,-0.02,[Fe/H],3.09,,,,,,0,0,0,0,0,3,0,,,,,,11.956,11.628,11.569,11.518,11.546,11.495,9.317,,,,,,,,,,,,14,,,,,0.328,0.059,0.387,,,,5
1487,Kepler-1056,b,Kepler-1056 b,Transit,0,1,27.495606,,,,,,0.269,,0,1,0,1,19h58m06.24s,299.52598,+46d53m57.3s,46.899261,971,1010.77,14.55,Kepler-band,14.56,6127,1.12,1.2,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,3.01,0.028,,0.20933,2454966.284,JD,,,,0.02335,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,32,12,http://exoplanet.eu/catalog/Kepler-1056_b/,,,,,19.96839867,81.405689,9.121715,322.859167,65.012482,,0.99,-1.4,0.3,1.5,-1.4,0.3,1.5,,,,4.33,,,0.02,[Fe/H],2.95,,,,,,0,0,0,0,0,3,0,,,,,,13.242,12.895,12.827,12.826,12.847,12.785,9.552,,,,,,,,,,,,14,,,,,0.347,0.068,0.415,,,,5
1488,Kepler-1057,b,Kepler-1057 b,Transit,0,1,14.08827448,,,,,,0.3,,0,1,0,1,19h49m48.52s,297.452152,+41d33m29.2s,41.558124,1462,1242.74,15.624,Kepler-band,15.608,5987,1.07,1.1,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,3.36,0.031,,0.173396,2454970.344,JD,,,,0.02813,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,32,11,http://exoplanet.eu/catalog/Kepler-1057_b/,,,,,19.83014349,75.977944,7.741582,314.967779,60.782401,,0.8,2.3,-9.7,10,-3.7,-10.1,10.7,,,,4.38,,,0.01,[Fe/H],3.09,,,,,,0,0,0,0,0,3,0,,,,,,14.336,13.977,13.924,,,,,,,,,,,,,,,,10,,,,,0.359,0.053,0.412,,,,5
1489,Kepler-1058,b,Kepler-1058 b,Transit,0,1,110.96546,,,,,,0.243,,0,1,0,1,19h38m22.99s,294.595783,+45d52m30.1s,45.875034,525,890.77,15.498,Kepler-band,15.504,4644,0.73,0.69,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,2.72,0.025,,0.53504,2455020.043,JD,,,,0.0356,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,28,11,http://exoplanet.eu/catalog/Kepler-1058_b/,,,,,19.63971887,78.831886,11.611768,314.460994,65.561306,,1.12,-20.9,13.6,24.9,-20.9,13.6,24.9,,,,4.63,,,-0.06,[Fe/H],3.39,,,,,,0,0,0,0,0,3,0,,,,,,13.729,13.133,13.005,12.927,12.959,13.063,9.729,,,,,,,,,,,,14,,,,,0.596,0.128,0.724,,,,5
1490,Kepler-1059,b,Kepler-1059 b,Transit,0,1,3.76419105,,,,,,0.154,,0,1,0,1,19h16m52.85s,289.220209,+41d42m23.3s,41.706486,673,727.78,15.484,Kepler-band,15.489,4906,0.75,0.72,5/10/16,1,0,0,0,0,0,,,,,,,,,,,,1.73,0.016,,0.085817,2454965.351,JD,,,,0.02192,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,32,12,http://exoplanet.eu/catalog/Kepler-1059_b/,,,,,19.28134727,73.258949,13.283142,302.747132,62.977395,,1.37,1.3,-6.5,6.6,1.3,-6.5,6.6,,,,4.61,,,-0.15,[Fe/H],5.37,,,,,,0,0,0,0,0,3,0,,,,,,13.993,13.427,13.351,13.41,13.439,12.722,9.463,,,,,,,,,,,,14,,,,,0.566,0.076,0.642,,,,5
1491,Kepler-106,b,Kepler-106 b,Transit,0,4,6.16486,,,,0.01668,Mass,0.073,,0,1,0,1,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,449.98,449.98,12.882,Kepler-band,12.839,5858,1,1.04,10/13/16,1,1,0,0,0,0,,,,,,,0.01668,,5.3,,5.3,0.82,0.007,,,2454968.64,BJD,0.39,,,0.00726,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,2014,<a refstr=MARCY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...20M/abstract target=ref> Marcy et al. 2014 </a>,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,3,0,41,12,http://exoplanet.eu/catalog/Kepler-106_b/,,2014-02,,,20.05759807,79.670749,7.003442,322.134047,62.304303,2.22,2.22,7.9,-0.8,8,7.9,-0.8,8,-56.18,,,4.41,,1.38,-0.12,[Fe/H],4.83,0.3,,,,,0,0,0,0,0,3,0,,,,,,11.752,11.494,11.431,11.366,11.414,11.243,9.187,,,,,,,,,,,,14,,,,,0.258,0.063,0.321,,,,5
